2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
177,Bellevue,Washington,147599,122363,20.62,86.8,1630,47°35′52″N 122°09′23″W,"Bellevue (/ˈbɛlvjuː/ BEL-vyoo) is a city in the Eastside region of King County, Washington, United States, across Lake Washington from Seattle. As the third-largest city in the Seattle metropolitan area, Bellevue has variously been characterized as an edge city, a suburb, boomburb, or satellite city. Its population was 122,363 at the 2010 census and 144,444 in a 2017 census estimate.",,King,,,John Chelminiak,33.46 sq mi (86.66 km2),0.25 sq mi (0.65 km2),"3,733,580 (US: 15th)",85 ft (26 m),,UTC−8 (PST),98004-98009,425,53-05210,,www.bellevuewa.gov,86.66,0.65,,26.0
178,Rockford,Illinois,146526,152871,-4.15,164.5,898,42°15′32″N 89°03′53″W,"Rockford is a city in Winnebago County in the U.S. state of Illinois, in far northern Illinois.  Located on the banks of the Rock River, Rockford is the county seat of Winnebago County (a small portion of the city is located in Ogle County).  The largest city in Illinois outside of the Chicago metropolitan area, Rockford is the third-largest city in the state and the 171st most populous in the United States  According to 2010 U.S. Census Data, the City of Rockford had a population of 152,871, with an outlying metropolitan area population of 348,360. The City of Rockford's population is 147,051 as of 2017, down 4.1% since 2010.","The Forest City, Momentum City, The Screw Capital of the World, Stateline Mass Transit District, Fastener Capital of the World, Reaper City, Furniture City[citation needed]","Winnebago, Ogle",,,Thomas McNamara (D),63.47 sq mi (164.38 km2),1.01 sq mi (2.63 km2),"344,623",728 ft (222 m),,UTC−6 (CST),"61101-61110, 61112, 61114, 61125, 61126","815,779",17-65000,,rockfordil.gov,164.38,2.63,344623.0,222.0
179,Savannah,Georgia,145862,136286,7.03,268.3,547,32°00′09″N 81°09′13″W,"Savannah (/səˈvænə/) is the oldest city in the U.S. state of Georgia and is the county seat of Chatham County. Established in 1733 on the Savannah River, the city of Savannah became the British colonial capital of the Province of Georgia and later the first state capital of Georgia. A strategic port city in the American Revolution and during the American Civil War, Savannah is today an industrial center and an important Atlantic seaport. It is Georgia's fifth-largest city, with a 2018 estimated population of 145,862. The Savannah metropolitan area, Georgia's third-largest, had an estimated population of 389,494 in 2018.",The Hostess City of the South,Chatham,,,Eddie DeLoach (R),103.1 sq mi (267.1 km2),5.6 sq mi (14.4 km2),"389,494",49 ft (15 m),,UTC−5 (EST),31401-31499,912,13-69000,,savannahga.gov,267.1,14.4,389494.0,15.0
180,Paterson,New Jersey,145627,146199,-0.39,21.8,6800,40°54′53″N 74°09′46″W,"Paterson is the largest city in and the county seat of Passaic County, New Jersey, United States. As of the 2010 United States Census, its population was 146,199, making it New Jersey's third-most-populous city. Paterson has the second-highest density of any U.S. city with over 100,000 people, behind only New York City. For 2018, the Census Bureau's Population Estimates Program calculated a population of 145,647, a decrease of 0.4% from the 2010 enumeration, making the city the 180th-most-populous in the nation.",The Silk City,Passaic,Faulkner Act Mayor-Council,City Council,Andre Sayegh,8.428 sq mi (21.829 km2),0.276 sq mi (0.715 km2)  3.17%,,112 ft (34.1376 m),,UTC−5 (Eastern (EST)),"07501-07505, 07508-07514, 07522, 07524, 07533, 07538, 07543, 07544","201,973",3403157000,,www.patersonnj.gov,21.829,0.715,,34.1376
181,Torrance,California,145182,145438,-0.18,53.1,2770,33°50′06″N 118°20′29″W,"Torrance is a U.S. city in the South Bay (southwestern) region of Los Angeles County, California in the Los Angeles metropolitan area. Torrance has 1.5 miles (2.4 km) of beaches on the Pacific Ocean. Torrance has a moderate year-round climate with warm temperatures, sea breezes, low humidity, and an average rainfall of 12.55 inches per year.",,Los Angeles,Council-manager,,,20.48 sq mi (53.04 km2),0.07 sq mi (0.19 km2)  0.37%,,89 ft (27 m),,UTC−8 (Pacific),90501-90510,310-424,06-80000,Los Angeles International AirportLAX (Major/International),www.torranceca.gov,53.04,0.19,,27.0
182,Bridgeport,Connecticut,144900,144229,0.47,41.7,3500,41°11′15″N 73°11′45″W,"Bridgeport is a historic seaport city in the U.S. state of Connecticut. It is in Fairfield County, at the mouth of the Pequonnock River on Long Island Sound, 60 miles from Manhattan and 40 miles from The Bronx. It is bordered by the towns of Trumbull to the north, Fairfield to the west, and Stratford to the east. ",The Park City,Fairfield,Mayor-council,,Joe Ganim (D),16.0 sq mi (41.4 km2),3.4 sq mi (8.8 km2),Bridgeport-Stamford,3 ft (1 m),,UTC-5 (Eastern),"06601, 06602, 06604, 06605, 06606, 06607, 06608, 06610, 06650, 06673, 06699",203-475,09-08000,Sikorsky Memorial Airport,City of Bridgeport,41.4,8.8,,1.0
183,McAllen,Texas,143433,129877,10.44,151.3,940,26°13′56″N 98°14′47″W,"McAllen is the largest city in Hidalgo County, Texas, United States, and the 22nd-most populous city in Texas. It is located at the southern tip of the state in the Rio Grande Valley. The city limits extend south to the Rio Grande, across from the Mexican city of Reynosa, and McAllen is about 70 mi (110 km) west of the Gulf of Mexico. As of 2017, McAllen’s population was estimated to be 142,696. It is the fifth-most populous metropolitan area in the state of Texas, and the binational Reynosa–McAllen metropolitan area counts a population of nearly 1.52 million.",The City of Palms,Hidalgo,Council-Manager,,,48.3 sq mi (125.2 km2),0.3 sq mi (0.8 km2),"774,769",121.4 ft (37.1 m),,UTC−6 (CST),78501-78504,956,48-45384,,www.mcallen.net,125.2,0.8,774769.0,37.1
184,Mesquite,Texas,142816,139824,2.14,122.2,1176,32°45′46″N 96°35′20″W,"Mesquite is a suburban city located east of the city of Dallas, Texas, in the United States. Most of the city is located in Dallas County, though a small portion extends into Kaufman County. As of 2017 census estimates the population was 143,949, making it the twenty-first most populous city in the U.S. state of Texas. Mesquite is positioned at the crossroads of four major highways (Interstates 30, 635, 20, and U.S. Route 80), making locations such as downtown Dallas, Lake Ray Hubbard, Dallas Love Field, and DFW International Airport accessible.",Rodeo Capital of Texas,"Dallas, Kaufman",Council-Manager,,Stan Pickett,46.0 sq mi (119.2 km2),0.20 sq mi (0.52 km2),,495 ft (151 m),,UTC-6 (CST),"75149, 75150, 75181","214,469,972",48-47892,,cityofmesquite.com,119.2,0.52,,151.0
185,Syracuse,New York,142749,145170,-1.67,64.7,2214,43°02′28″N 76°08′37″W,"Syracuse (/ˈsɪrəkjuːz, ˈsɛr-, -kjuːs/) is a city in and the county seat of Onondaga County, New York, United States. It is the fifth-most populous city in the state of New York following New York City, Buffalo, Rochester, and Yonkers.","The 'Cuse, Salt City, Emerald City, The Heart of New York",Onondaga,Mayor-Council,,Ben Walsh (I),25.05 sq mi (64.87 km2),0.56 sq mi (1.46 km2)  2.15%,"662,577",380 ft (116 m),,UTC−5 (Eastern),,"315,680",36-73000,,www.syrgov.net,64.87,1.46,662577.0,116.0
186,Midland,Texas,142344,111147,28.07,192.7,698,32°01′29″N 102°06′49″W,"Midland is a city in and the county seat of Midland County, Texas, United States, on the Southern Plains of the state's western area. A small portion of the city extends into Martin County.",The Tall City,"Midland, Martin",Council-Manager,,Jerry Morales,71.3 sq mi (184.7 km2),0.2 sq mi (0.5 km2),"295,987","2,782 ft (848 m)",,UTC−6 (CST),79701-12,432,48-48072,,midlandtexas.gov,184.7,0.5,295987.0,848.0
187,Pasadena,California,141371,137122,3.1,59.6,2385,34°09′38″N 118°08′23″W,"Pasadena  is a city in Los Angeles County, California, United States, located 10 miles (16 kilometers) northeast of Downtown Los Angeles.","City of Roses, Crown City, Rose Town",Los Angeles,City council/manager,,Terry Tornek,22.98 sq mi (59.52 km2),0.15 sq mi (0.38 km2)  0.68%,,863 ft (263 m),,UTC−8 (Pacific),"91101-91110, 91114-91118, 91121, 91123-91126, 91129, 91182, 91184, 91185, 91188, 91189, 91199","323,626",06-56000,Los Angeles International AirportLAX (Major/International),www.cityofpasadena.net,59.52,0.38,,263.0
188,Murfreesboro,Tennessee,141344,108755,29.97,144.8,910,35°51′08″N 86°24′58″W,"Murfreesboro is a city in, and the county seat of, Rutherford County, Tennessee, United States. The population was 108,755 according to the 2010 census, up from 68,816 residents certified in 2000. In 2018, census estimates showed a population of 141,344. The city is home to both the center of population of Tennessee, and the geographic center of Tennessee. Murfreesboro is located 34 miles (55 km) southeast of downtown Nashville in the Nashville metropolitan area of Middle Tennessee. It is Tennessee's fastest growing major city and one of the fastest growing cities in the country. Murfreesboro is also home to Middle Tennessee State University, the second largest undergraduate university in the state of Tennessee, with 22,729 total students as of fall 2014.",The 'Boro,Rutherford,Council–Manager,,Shane McFarland (R),58.32 sq mi (151.06 km2),0.15 sq mi (0.37 km2)  0.25%,,610 ft (186 m),,UTC−6 (CST),37127-37133,"615,629",47-51560,,City of Murfreesboro,151.06,0.37,,186.0
189,Miramar,Florida,140823,122041,15.39,76.1,1818,25°58′37″N 80°20′09″W,"Miramar is a city in Broward County, Florida, United States. As of the 2010 census, the population was 122,041. It is a principal city of the Miami metropolitan area, which is home to over 6 million people.",,Broward,Commission-Manager,,Wayne M. Messam,29.38 sq mi (76.10 km2),1.90 sq mi (4.92 km2)  5.66%,"5,762,717 (8th)",9 ft (2 m),,UTC-5 (EST),"33023, 33025, 33027, 33029","754,954",12-45975,,www.miramarfl.gov,76.1,4.92,,2.0
190,Dayton,Ohio,140640,141527,-0.63,144.3,974,39°46′39″N 84°11′59″W,"Dayton (/ˈdeɪtən/) is the sixth-largest city in the state of Ohio and the county seat of Montgomery County. A small part of the city extends into Greene County. The 2017 U.S. census estimate put the city population at 140,371, while Greater Dayton was estimated to be at 803,416 residents. This makes Dayton the fourth-largest metropolitan area in Ohio and 63rd in the United States. Dayton is within Ohio's Miami Valley region, just north of Greater Cincinnati.",The Gem City,Montgomery,,,Nan Whaley (D),55.65 sq mi (144.13 km2),0.85 sq mi (2.20 km2),"799,232 (US: 71st)",738 ft (225 m),,UTC-5 (EST),"45400-45406, 45408-45410, 45412-45420, 45422-45424, 45426-45435, 45437, 45439-45441, 45448-45449, 45454, 45458-45459, 45469-45470, 45475, 45479, 45481-45482, 45490",937,39113,,daytonohio.gov,144.13,2.2,,225.0
191,Fullerton,California,139640,135161,3.31,58.0,2425,33°53′09″N 117°55′41″W,"Fullerton (/ˈfʊlərtən/) is a city located in northern Orange County, California, United States. As of the 2010 census, the city had a total population of 135,161.",,Orange,Council-Manager,,,22.43 sq mi (58.10 km2),0.01 sq mi (0.03 km2)  0.05%,,164 ft (50 m),,UTC-8 (PST),92831-92832,"562,657-714",06-28000,John Wayne International AirportSNA (Major/International),www.ci.fullerton.ca.us,58.1,0.03,,50.0
192,Olathe,Kansas,139605,125872,10.91,157.7,859,38°53′03″N 94°49′10″W,"Olathe (/oʊˈleɪθə/ oh-LAY-thə) is the county seat of Johnson County, Kansas, United States.  It is the fourth most populous city in the Kansas City Metropolitan Area and Kansas. With a 2010 population of 125,872.  By 2017, the Census Bureau estimated Olathe's population had grown to 137,472.",,Johnson,Mayor–Council,,Michael Copeland,59.66 sq mi (154.52 km2),0.76 sq mi (1.97 km2)  1.26%,"2,087,471 (US: 29th)","1,037 ft (316 m)",,UTC-6 (CST),"66051,66061,66062,66063",913,20-52575,,olatheks.org,154.52,1.97,,316.0
193,Orange,California,139484,136416,2.25,65.8,2136,33°47′13″N 117°51′41″W,"Orange is a city located in Orange County, California. It is approximately 3 miles (4.8 kilometers) north of the county seat, Santa Ana. Orange is unusual in this region because many of the homes in its Old Town District were built before 1920. While many other cities in the region demolished such houses in the 1960s, Orange decided to preserve them. The small city of Villa Park is surrounded by the city of Orange. The population was 139,812 as of 2014.",,Orange,Council–Manager,,,25.36 sq mi (65.68 km2),0.44 sq mi (1.13 km2)  1.75%,,190 ft (58 m),,UTC−08:00 (Pacific),92856-92869,657-714,06-53980,John Wayne International AirportSNA (Major/International),cityoforange.org,65.68,1.13,,58.0
194,Thornton,Colorado,139436,118772,17.4,92.5,1478,39°55′10″N 104°56′34″W,"Thornton is a home rule municipality in Adams and Weld counties in the U.S. state of Colorado, located in the northeast quadrant of the Denver-Aurora-Broomfield, CO Metropolitan Statistical Area. Thornton is 10 miles (16 km) north/northeast of downtown Denver. The United States Census Bureau reported the city's growing population at 118,772 on April 1, 2010, a 44.2% increase from the 2000 Census population of 82,384. Thornton is the sixth-most populous city in the state of Colorado and the 213th-most populous city in the United States.",,Adams CountyWeld County,Home rule municipality,,Heidi K. Williams (Since 2011),35.81 sq mi (92.75 km2),1.07 sq mi (2.77 km2),,"5,351 ft (1,631 m)",,UTC−7 (MST),"80221, 80229, 80233, 80241, 80280602",",303,720",08-77290,,City of Thornton,92.75,2.77,,1631.0
